index,sample_id,label,adv_pred,success,query_count,mse_l2,linf,chamfer,hausdorff,elapsed_seconds,file
0,airplane_0627,0,2,1,0,0.6934541986663044,0.1600000113248825,0.00022402574541047215,0.027663469314575195,1.6441305465996265,samples/000000_airplane_0627.npz
1,airplane_0628,0,2,1,0,0.7797133687989373,0.1599999964237213,0.0002377771306782961,0.035589396953582764,0.6834784038364887,samples/000001_airplane_0628.npz
2,airplane_0629,0,15,1,0,0.7743800806428438,0.1599999964237213,0.0002549304917920381,0.029227256774902344,0.6472931653261185,samples/000002_airplane_0629.npz
3,airplane_0630,0,20,1,0,1.2058856675791372,0.1599999964237213,0.0004596247454173863,0.043269675225019455,0.6999315023422241,samples/000003_airplane_0630.npz
4,airplane_0631,0,26,1,0,0.7804787357367385,0.1599999964237213,0.0002371926821069792,0.04115757346153259,0.6522968038916588,samples/000004_airplane_0631.npz
5,airplane_0632,0,15,1,0,0.8122699760400461,0.1599999964237213,0.00026813734439201653,0.026726357638835907,0.6551119983196259,samples/000005_airplane_0632.npz
6,airplane_0633,0,26,1,0,0.7786174192740862,0.1599999964237213,0.000252097612246871,0.033173829317092896,0.6479226015508175,samples/000006_airplane_0633.npz
7,airplane_0634,0,26,1,0,0.6734058549708021,0.1599999964237213,0.0002041702246060595,0.03600592911243439,0.6546806655824184,samples/000007_airplane_0634.npz
8,airplane_0635,0,15,1,0,0.9522835973029011,0.1600000262260437,0.00036175877903588116,0.033956050872802734,0.6539016328752041,samples/000008_airplane_0635.npz
9,airplane_0636,0,20,1,0,1.644768414646081,0.1599999964237213,0.000684014055877924,0.051550865173339844,0.6684041991829872,samples/000009_airplane_0636.npz
10,airplane_0637,0,2,1,0,0.7402458089383261,0.1599999964237213,0.00025768406339921057,0.035389333963394165,0.6468596421182156,samples/000010_airplane_0637.npz
11,airplane_0638,0,34,1,0,1.1383497590634137,0.1599999964237213,0.0004262414004188031,0.04244810715317726,0.6518412753939629,samples/000011_airplane_0638.npz
12,airplane_0639,0,30,1,0,0.7555038443997095,0.1599999964237213,0.00022565407562069595,0.04002135992050171,0.6784066185355186,samples/000012_airplane_0639.npz
